filename,component_id,hausdorff_distance_95th,overlap_percentage,component_size,overall_hausdorff_distance_95th,average_symmetric_surface_distance,overall_average_symmetric_surface_distance,dice_score,overall_dice_score
colon_0152-prone.mha,1,1.0,99.8172975420146,1365061,1.0,0.40142685174942017,0.40142685174942017,0.9767042994499207,0.9767042994499207
colon_0155-prone.mha,1,154.74171447753906,99.7434294786833,716762,1.4142135381698608,46.93777847290039,0.7336615324020386,0.5844338536262512,0.9540518522262573
colon_0155-prone.mha,2,174.2803497314453,96.27507748169714,930865,1.4142135381698608,28.056291580200195,0.7336615324020386,0.6736627221107483,0.9540518522262573
colon_0404-supine.mha,1,1.0,97.00882319101916,2338043,1.0,0.42338284850120544,0.42338284850120544,0.9817508459091187,0.9817508459091187
colon_0109-prone.mha,1,264.3837585449219,98.96395826040325,268522,1.0,119.8548812866211,0.3582735061645508,0.413982629776001,0.9742924571037292
colon_0109-prone.mha,2,209.48243713378906,98.54668599848499,291747,1.0,66.96280670166016,0.3582735061645508,0.4399336874485016,0.9742924571037292
colon_0109-prone.mha,3,188.64251708984375,99.07821104313511,425477,1.0,59.87962341308594,0.3582735061645508,0.5851773023605347,0.9742924571037292
colon_0540-prone.mha,1,3.1622776985168457,90.89952132841954,1416420,3.1622776985168457,0.7479702830314636,0.7479702830314636,0.9495639801025391,0.9495639801025391
colon_0468-prone.mha,1,1.0,96.62811468050934,1609515,1.0,0.3035161793231964,0.3035161793231964,0.9784239530563354,0.9784239530563354
colon_0293-supine.mha,1,1.0,98.97190911526937,2298824,1.0,0.36745133996009827,0.36745133996009827,0.9759883880615234,0.9759883880615234
colon_0234-supine.mha,1,370.5745544433594,89.91431319401941,22874,1.0,227.81065368652344,0.3257826566696167,0.043808091431856155,0.974048376083374
colon_0234-supine.mha,2,1.0,99.2197910497483,864512,1.0,0.8678737878799438,0.3257826566696167,0.9634600281715393,0.974048376083374
colon_0028-supine.mha,1,215.90969848632812,95.27490763353998,319380,6.480740547180176,97.89533233642578,0.8843759894371033,0.23376932740211487,0.9663258194923401
colon_0028-supine.mha,2,111.3418197631836,96.78277134624135,1780290,6.480740547180176,11.93858814239502,0.8843759894371033,0.8478904962539673,0.9663258194923401
colon_0028-supine.mha,3,178.01763916015625,96.44172299986205,188462,6.480740547180176,76.09291076660156,0.8843759894371033,0.14702744781970978,0.9663258194923401
