Filename,Component,Volume,Centerline Length
colon_0066-supine.mha,1,2345656.0,23956
colon_0440-prone.mha,1,881024.0,15696
colon_0440-prone.mha,2,155.0,2
colon_0555-supine.mha,1,1825017.0,33138
colon_0009-supine.mha,1,1448344.0,5960
colon_0141-supine.mha,1,1298852.0,8469
colon_0106-supine.mha,1,1141018.0,80494
colon_0015-prone.mha,1,1776622.0,29740
colon_0602-supine.mha,1,165675.0,1442
colon_0602-supine.mha,2,1642397.0,9513
colon_0761-supine.mha,1,2099086.0,11962
colon_0017-prone.mha,1,1463042.0,14875
colon_0017-prone.mha,2,182.0,7
colon_0083-prone.mha,1,162.0,74
colon_0083-prone.mha,2,1203605.0,1795
colon_0032-prone.mha,1,1541003.0,56055
colon_0068-prone.mha,1,1359532.0,47403
colon_0568-supine.mha,1,2424258.0,40448
colon_0340-prone.mha,1,2088839.0,14524
colon_0142-supine.mha,1,1989174.0,16115
colon_0142-supine.mha,2,105.0,6
colon_0382-prone.mha,1,2190034.0,120355
colon_0108-supine.mha,1,2087028.0,76887
colon_0332-supine.mha,1,3330.0,92
colon_0332-supine.mha,2,1674205.0,8640
colon_0747-prone.mha,1,490999.0,6349
colon_0747-prone.mha,2,2319040.0,28682
colon_0487-prone.mha,1,1586287.0,66124
colon_0136-prone.mha,1,1048070.0,8661
colon_0071-supine.mha,1,1989251.0,5283
colon_0071-supine.mha,2,208.0,19
colon_0071-supine.mha,3,151.0,9
colon_0441-supine.mha,1,2818375.0,9714
colon_0719-supine.mha,1,2920673.0,10529
colon_0264-supine.mha,1,3714963.0,13194
colon_0556-prone.mha,1,1108631.0,15270
colon_0661-prone.mha,1,1857003.0,29951
colon_0071-prone.mha,1,1917434.0,6906
colon_0071-prone.mha,2,278.0,17
colon_0071-prone.mha,3,136.0,20
colon_0245-prone.mha,1,1625486.0,1636
colon_0809-prone.mha,1,2398826.0,82857
colon_0328-prone.mha,1,2227467.0,270215
colon_0144-supine.mha,1,2708843.0,56917
colon_0177-prone.mha,1,1893491.0,11245
colon_0282-prone.mha,1,1771953.0,49097
colon_0410-prone.mha,1,2327291.0,52370
colon_0085-prone.mha,1,2510849.0,23497
colon_0820-supine.mha,1,1728533.0,12033
colon_0481-supine.mha,1,1720984.0,108307
colon_0518-supine.mha,1,2808589.0,213221
colon_0162-supine.mha,1,2524127.0,8743
colon_0323-supine.mha,1,2123189.0,6800
colon_0580-prone.mha,1,2360540.0,120856
colon_0580-prone.mha,2,637.0,57
colon_0719-prone.mha,1,2790245.0,33942
colon_0026-supine.mha,1,2034378.0,5186
colon_0698-prone.mha,1,1646327.0,50148
colon_0453-supine.mha,1,1616136.0,19527
colon_0448-supine.mha,1,1551958.0,48606
colon_0643-prone.mha,1,2274579.0,17378
colon_0217-prone.mha,1,1588449.0,57237
colon_0383-prone.mha,1,1822863.0,103082
colon_0246-supine.mha,1,1883894.0,14506
colon_0397-prone.mha,1,1799128.0,45329
colon_0793-prone.mha,1,1910588.0,150647
colon_0793-prone.mha,2,459.0,55
colon_0793-prone.mha,3,121.0,13
colon_0793-prone.mha,4,367.0,38
colon_0449-prone.mha,1,1458903.0,8688
colon_0407-prone.mha,1,323417.0,23017
