filename,component_id,hausdorff_distance_95th,overlap_percentage,component_size,overall_hausdorff_distance_95th,average_symmetric_surface_distance,overall_average_symmetric_surface_distance,dice_score,overall_dice_score
colon_0582-supine.mha,1,1.0,99.49322946131248,1850739,1.0,0.35872742533683777,0.35872742533683777,0.9793249368667603,0.9793249368667603
colon_0697-supine.mha,1,1.0,98.86268171952342,1280820,1.0,0.288501501083374,0.288501501083374,0.9796739220619202,0.9796739220619202
colon_0558-supine.mha,1,313.7530822753906,95.05455694555458,107594,1.0,182.41531372070312,0.41586580872535706,0.11773698776960373,0.9724915623664856
colon_0558-supine.mha,2,28.72281265258789,99.59422705436712,1456726,1.0,1.8344556093215942,0.41586580872535706,0.9401204586029053,0.9724915623664856
colon_0124-prone.mha,1,1.4142135381698608,94.84043011660572,1136994,1.4142135381698608,0.661784291267395,0.661784291267395,0.9566265344619751,0.9566265344619751
colon_0097-prone.mha,1,193.67111206054688,99.72073105348527,294698,1.4142135381698608,76.96297454833984,0.6911295056343079,0.64674973487854,0.9466219544410706
colon_0097-prone.mha,2,157.4611053466797,100.0,84002,1.4142135381698608,74.96245574951172,0.6911295056343079,0.24066616594791412,0.9466219544410706
colon_0097-prone.mha,3,158.51182556152344,100.0,73327,1.4142135381698608,76.39125061035156,0.6911295056343079,0.21334469318389893,0.9466219544410706
colon_0097-prone.mha,4,205.92352294921875,99.9990136121523,101380,1.4142135381698608,59.08919143676758,0.6911295056343079,0.28339648246765137,0.9466219544410706
colon_0072-prone.mha,1,1.0,99.80112049315201,2429109,1.0,0.4511049687862396,0.4511049687862396,0.976920485496521,0.976920485496521
colon_0583-prone.mha,1,58.07753372192383,99.64406862271446,2338934,1.0,3.950831174850464,0.4063093662261963,0.9023571610450745,0.9777265191078186
colon_0583-prone.mha,2,148.13844299316406,99.78845691215078,382428,1.0,68.26363372802734,0.4063093662261963,0.2378358244895935,0.9777265191078186
colon_0280-prone.mha,1,2.0,97.52511509166581,1901745,2.0,0.50633704662323,0.50633704662323,0.9691749215126038,0.9691749215126038
colon_0191-prone.mha,1,1.0,99.83419882905392,3037373,1.0,0.49496886134147644,0.49496886134147644,0.9730582237243652,0.9730582237243652
colon_0283-supine.mha,1,1.0,99.32412692163469,1762757,1.0,0.3264803886413574,0.3264803886413574,0.981818437576294,0.981818437576294
colon_0582-prone.mha,1,1.0,98.92787003106652,1477153,1.0,0.3377930521965027,0.3377930521965027,0.9756340980529785,0.9756340980529785
colon_0559-prone.mha,1,95.52486419677734,99.28672339767999,724824,1.0,17.151906967163086,0.4400019943714142,0.6840986609458923,0.9711071848869324
colon_0559-prone.mha,2,162.1665802001953,99.17750284691174,595382,1.0,53.59337615966797,0.4400019943714142,0.5981091260910034,0.9711071848869324
colon_0559-prone.mha,3,242.85348510742188,100.0,1031,1.0,129.606689453125,0.4400019943714142,0.0014940351247787476,0.9711071848869324
