filename,component_id,hausdorff_distance_95th,overlap_percentage,component_size,overall_hausdorff_distance_95th,average_symmetric_surface_distance,overall_average_symmetric_surface_distance,dice_score,overall_dice_score
colon_0191-supine.mha,1,3.0,94.78812270218828,2872842,3.0,0.6538916826248169,0.6538916826248169,0.9719675779342651,0.9719675779342651
colon_0358-prone.mha,1,3.1622776985168457,93.32269897645934,2573420,3.1622776985168457,0.7657403945922852,0.7657403945922852,0.9642890691757202,0.9642890691757202
colon_0062-supine.mha,1,1.4142135381698608,93.67243150506346,1534128,1.4142135381698608,0.5833204388618469,0.5833204388618469,0.9663586020469666,0.9663586020469666
colon_0140-prone.mha,1,1.0,96.27691619704505,1668187,1.0,0.4199885427951813,0.4199885427951813,0.9787169694900513,0.9787169694900513
colon_0221-prone.mha,1,1.4142135381698608,93.18334109671301,1781870,1.4142135381698608,0.5746806263923645,0.5746806263923645,0.9640847444534302,0.9640847444534302
colon_0134-supine.mha,1,5.0,96.02787046530426,3281036,5.0,0.7336558103561401,0.7336558103561401,0.9768843650817871,0.9768843650817871
colon_0192-prone.mha,1,2.2360680103302,96.1457129415226,2229699,2.2360680103302,0.5834110975265503,0.5834110975265503,0.9781783223152161,0.9781783223152161
colon_0071-supine.mha,1,1.0,96.0928146603329,2071440,1.0,0.39551329612731934,0.39551329612731934,0.9789794087409973,0.9789794087409973
colon_0556-prone.mha,1,1.4142135381698608,91.42664424338344,1211241,1.4142135381698608,0.7004384398460388,0.7004384398460388,0.9544065594673157,0.9544065594673157
colon_0071-prone.mha,1,1.0,96.68548387096774,1984000,1.0,0.3380403220653534,0.3380403220653534,0.9821285605430603,0.9821285605430603
colon_0282-prone.mha,1,3.1622776985168457,94.05143369661552,1880907,3.1622776985168457,0.6419166922569275,0.6419166922569275,0.9685472249984741,0.9685472249984741
colon_0580-prone.mha,1,5.4772257804870605,94.85473426921922,2484206,5.4772257804870605,0.8098660707473755,0.8098660707473755,0.9726174473762512,0.9726174473762512
colon_0698-prone.mha,1,2.2360680103302,93.75874891137325,1754504,2.2360680103302,0.6345652341842651,0.6345652341842651,0.9674009680747986,0.9674009680747986
colon_0793-prone.mha,1,4.4721360206604,92.93972482254134,2048787,4.4721360206604,0.8226979374885559,0.8226979374885559,0.961528480052948,0.961528480052948
colon_0221-supine.mha,1,1.4142135381698608,93.61856037083326,1924315,1.4142135381698608,0.653802752494812,0.653802752494812,0.961963415145874,0.961963415145874
colon_0461-prone.mha,1,1.0,95.26925936695399,1987786,1.0,0.5133450627326965,0.5133450627326965,0.9731625318527222,0.9731625318527222
colon_0559-supine.mha,1,1.0,96.75465309756044,1964659,1.0,0.4254555106163025,0.4254555106163025,0.9765028357505798,0.9765028357505798
colon_0357-supine.mha,1,1.0,94.27107070344164,1803618,1.0,0.5162397027015686,0.5162397027015686,0.9700156450271606,0.9700156450271606
colon_0192-supine.mha,1,4.898979663848877,95.68128406056505,2061585,4.898979663848877,0.6997215151786804,0.6997215151786804,0.9762559533119202,0.9762559533119202
colon_0062-prone.mha,1,1.4142135381698608,94.16450966068116,1663185,1.4142135381698608,0.5257722735404968,0.8485366106033325,0.9695025086402893,0.9608395099639893
colon_0062-prone.mha,2,241.17129516601562,0.0,29129,1.4142135381698608,130.1404571533203,0.8485366106033325,0.0,0.9608395099639893
colon_0012-prone.mha,1,3.316624879837036,91.41737163992228,1771462,3.316624879837036,0.8761489987373352,0.8761489987373352,0.9510189294815063,0.9510189294815063
colon_0296-supine.mha,1,6.480740547180176,88.77143586940333,1201899,6.480740547180176,1.297117829322815,1.297117829322815,0.9396305680274963,0.9396305680274963
colon_0134-prone.mha,1,1.0,96.92106888519217,3273766,1.0,0.42030465602874756,0.42030465602874756,0.9823305606842041,0.9823305606842041
colon_0793-supine.mha,1,4.582575798034668,93.01949053296347,2285879,4.582575798034668,0.8698455691337585,0.8698455691337585,0.962497353553772,0.962497353553772
colon_0402-prone.mha,1,1.0,95.9232697107468,1931180,1.0,0.42385146021842957,0.42385146021842957,0.9768280982971191,0.9768280982971191
colon_0580-supine.mha,1,3.0,93.80626292222603,2250483,3.0,0.7292753458023071,0.7292753458023071,0.9670972228050232,0.9670972228050232
colon_0358-supine.mha,1,1.4142135381698608,93.70808946843776,2293278,1.4142135381698608,0.6644814610481262,0.6644814610481262,0.9667821526527405,0.9667821526527405
colon_0581-prone.mha,1,5.0,96.00596501492589,3746512,5.0,0.7500513792037964,0.7500513792037964,0.9754644632339478,0.9754644632339478
colon_0359-supine.mha,1,1.0,96.92958379539401,2714290,1.0,0.4074344038963318,0.4074344038963318,0.9827979207038879,0.9827979207038879
colon_0213-supine.mha,1,1.0,95.81686470422879,3945127,1.0,0.5127741098403931,0.5127741098403931,0.9774351716041565,0.9774351716041565
colon_0359-prone.mha,1,1.7320507764816284,96.65652157246303,2634771,1.7320507764816284,0.4753964841365814,0.4753964841365814,0.981170654296875,0.981170654296875
colon_0461-supine.mha,1,1.0,95.77924433264921,1943633,1.0,0.46169033646583557,0.46169033646583557,0.9752243757247925,0.9752243757247925
